ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
7791337008472,Postre Vainilla con Rocklets Serenito 120 Gr,Serenito,Frescos,Lácteos,Postre,5,24,2471,3730.0,0.0,2.0,3.0,0.0,2.0,0.0
7791337009981,Yogur Batido Natural Yogurísimo 190 Gr,Yogurisimo,Frescos,Lácteos,Yogur firme/batido,5,24,2224,3285.625,0.0,6.0,0.0,0.0,6.0,0.0
7791337008694,Yogur Bebible Frutilla Danonino 185 Gr,Danonino,Frescos,Lácteos,Yogur bebible,5,24,2428,3255.0,0.0,4.0,0.0,0.0,4.0,0.0
7793913013566,Yogur Firme Descremado Vainilla Pote Tregar 125 Gr,Tregar,Frescos,Lácteos,Yogur firme/batido,5,24,2380,1150.0,4.0,0.0,0.0,0.0,0.0,0.0
7791337007246,Yogur Firme Descremado con Colágeno Vainilla Pote Ser 190 Gr,Ser,Frescos,Lácteos,Yogur firme/batido,5,24,2456,2850.0,0.0,0.0,8.0,0.0,0.0,0.0
7790070621863,Ravioles Ricota Mozzarella Danbo Parmesano La Salteña 450 Gr,La Salteña,Frescos,Pastas y Tapas,Pasta fresca (ravioles),5,24,2186,4300.0,0.0,1.0,2.0,0.0,1.0,0.0
7790070622037,Tapa para Pascualina Criolla La Salteña 400 Gr,La Salteña,Frescos,Pastas y Tapas,Tapas empanadas/pascualina,5,24,2472,2800.0,2.0,2.0,2.0,0.0,2.0,0.0
7799111685901,Heladera Sidebyside Inox 428 Lts Philco Phsb450N,S/D,Heladeras y Freezers,Heladeras,Heladera,5,24,185,1429999.0,0.0,0.0,0.0,1.0,0.0,0.0
7798111354763,Auricular Bt Earbud Aiwa Mod. Twa 70N Negro,S/D,Informática,Auriculares,Auriculares,5,24,139,24999.0,0.0,0.0,0.0,1.0,0.0,0.0
6932554416638,Celular 14C 4Gb/128Gb Starry Blue Azul Redmi Xiaomi 1 Un,Xiaomi,Informática,Celulares,Celular,4,24,354,369000.0,0.0,0.0,0.0,1.0,0.0,0.0
0196802082679,Notebook 14 Celn4120 4/128 Gb 82V Lenovo 1 Un,Lenovo,Informática,Computadoras,Notebook,4,22,176,599999.0,0.0,0.0,0.0,1.0,0.0,0.0
7797026970037,Parlante Bt Stromberg Boombox Force,Stromberg,Informática,Parlantes,Parlante bluetooth,5,24,152,199999.0,0.0,0.0,0.0,1.0,0.0,0.0
8806094365573,Lavarropas Frontal Inventer WW65A4000EEU Blanco 6.5 Kg Samsung 1 Un,Samsung,Lavado,Lavarropas,Lavarropas,4,24,254,865874.0,0.0,0.0,0.0,1.0,0.0,0.0
7794440003310,Esponja Pintada Lisa Virulana 1 Un,Virulana,Limpieza,Accesorios de Limpieza,Esponja/trapo,5,24,2119,718.5333251953125,1.0,1.0,1.0,0.0,1.0,0.0
7793253004231,Aromatizante Ambiente en Aerosol Frescura de Lavanda Poett 360 Ml,Poett,Limpieza,Desodorante de Ambientes,Desodorante ambiente,5,24,2520,4190.0,0.0,1.0,1.0,0.0,1.0,0.0
7790520995285,Desinfectante de Ambientes y Superficies Original Aerosol Lysoform 360 Ml,Lysoform,Limpieza,Desodorante de Ambientes,Limpiador baño/desinfectante,5,24,2740,4865.8330078125,0.0,1.0,1.0,0.0,1.0,0.0
7790520997623,Mata Moscas y Mosquitos Aerosol Raid 370 Ml,Raid,Limpieza,Insecticidas,Insecticida,5,23,2264,7050.0,0.0,1.0,1.0,0.0,0.5,0.0
