necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Mermelada,Representativa,7793360131547,Mermelada de Ciruela Bc 390 Gr,Bc,Almacén,Mermeladas y Dulces,Mermeladas,kg,0.35,0.39,1.0,10666.7,4160.0,5,24,2459,Dulces,True
Cacao / chocolatada en polvo,Popular,7790380023401,Polvo de Cacao Toddy 180 Gr,Toddy,Almacén,Infusiones,Cacao,kg,0.4,0.18,2.0,12616.7,2271.0,5,24,1962,,True
Cacao / chocolatada en polvo,Media,8445290274243,Cacao en Polvo Nescao 150 Gr,Nescao,Almacén,Infusiones,Cacao,kg,0.5,0.15,3.0,15866.7,2380.0,5,24,2289,,True
Cacao / chocolatada en polvo,Ejecutiva,8445290559975,Cacao Menos Azúcar Nesquik 300 Gr,Nesquik,Almacén,Infusiones,Cacao,kg,0.6,0.3,2.0,30316.7,9095.0,4,24,1325,,True
Cacao / chocolatada en polvo,Representativa,8445291121843,Polvo Chocolatado Nesquik 150 Gr,Nesquik,Almacén,Infusiones,Cacao,kg,0.4,0.15,2.5,17933.3,2690.0,5,24,2451,,True
Cereal de desayuno,Media,7896004004921,Copos de Maíz Azucarados Zucaritas 240 Gr,Zucaritas,Almacén,Cereales,Cereales,kg,0.4,0.24,1.5,13632.0,3271.7,4,24,2017,,True
Cereal de desayuno,Ejecutiva,7702103751416,Aritos de Cereal Frutados Froot Loops 195 Gr,Froot Loops,Almacén,Cereales,Cereales,kg,0.8,0.195,4.0,22580.1,4403.1,4,24,2052,,True
Cereal de desayuno,Representativa,7790199604587,Avena Tradicional Morixe 400 Gr,Morixe,Almacén,Cereales,Cereales,kg,0.3,0.4,0.5,4849.0,1939.6,5,24,2327,,True
Alfajor,Popular,77991584,Alfajor Triple de Chocolate Fantoche 85 Gr,Fantoche,Almacén,Golosinas,Alfajores,kg,0.35,0.085,4.0,20382.4,1732.5,5,24,1978,,True
Alfajor,Media,7790040133587,Alfajor Minitorta Clásica Águila 69 Gr,Águila,Almacén,Golosinas,Alfajores,kg,0.4,0.069,6.0,34492.8,2380.0,5,24,2408,,True
Alfajor,Ejecutiva,7790070418203,Alfajor de Arroz Dulce de Leche Chocoarroz 22 Gr,Chocoarroz,Almacén,Golosinas,Alfajores,kg,0.45,0.022,20.0,75181.8,1654.0,4,24,2373,,True
